,vehicle_id,trip,start_time,end_time,distance_km,energy_consumed_kwh,regen_energy_kwh,idling_energy_kwh,net_energy_kwh,energy_rate_kwh_per_km
0,18,GGN-MZF,2025-09-24 06:01:04.506,2025-09-24 10:36:01.279,197.12,214.72,47.13,6.82,167.59,0.85
1,18,MZF-DDN,2025-09-24 11:23:46.798,2025-09-24 14:08:00.191,125.12,170.71,9.71,3.5,161.01,1.29
2,18,DDN-MZF,2025-09-24 16:12:02.532,2025-09-24 19:55:03.100,127.5,145.37,39.3,7.16,106.08,0.83
3,18,MZF-GGN,2025-09-24 20:30:02.300,2025-09-25 01:24:24.799,216.62,239.03,68.69,4.28,170.33,0.79
4,18,GGN-MZF,2025-09-25 05:30:01.759,2025-09-25 10:31:09.886,207.5,213.63,53.69,3.43,159.94,0.77
5,18,MZF-DDN,2025-09-25 10:59:03.006,2025-09-25 13:55:11.070,125.5,130.42,23.62,6.85,106.8,0.85
6,18,DDN-MZF,2025-09-25 16:48:01.232,2025-09-25 19:39:14.022,127.62,174.56,17.64,3.42,156.92,1.23
7,18,MZF-GGN,2025-09-25 20:10:00.562,2025-09-26 02:57:00.087,209.62,291.79,52.7,5.48,239.1,1.14
8,18,GGN-MZF,2025-09-26 06:01:00.183,2025-09-26 10:41:03.289,197.88,224.76,39.75,3.69,185.01,0.93
9,18,MZF-DDN,2025-09-26 11:30:44.715,2025-09-26 14:29:04.174,125.5,198.17,15.63,6.13,182.54,1.45
10,18,DDN-MZF,2025-09-26 17:14:04.332,2025-09-26 20:20:03.230,127.62,149.82,44.0,3.09,105.82,0.83
11,18,MZF-GGN,2025-09-26 21:05:00.744,2025-09-27 01:36:22.783,211.88,145.89,70.79,1.35,75.1,0.35
12,18,GGN-MZF,2025-09-27 05:38:00.244,2025-09-27 10:31:18.179,207.5,210.73,40.9,6.93,169.82,0.82
13,18,MZF-DDN,2025-09-27 11:01:01.478,2025-09-27 14:10:15.801,125.38,200.65,26.26,5.2,174.38,1.39
14,18,DDN-MZF,2025-09-27 16:38:02.427,2025-09-27 19:53:03.469,127.5,117.19,40.76,6.76,76.43,0.6
15,18,MZF-GGN,2025-09-27 20:27:00.148,2025-09-28 01:20:05.630,201.62,266.06,37.9,4.35,228.16,1.13
16,18,GGN-MZF,2025-09-28 05:41:01.409,2025-09-28 10:06:03.059,196.75,232.36,43.24,4.33,189.11,0.96
17,18,MZF-DDN,2025-09-28 11:01:05.440,2025-09-28 13:41:09.200,125.5,202.12,26.66,2.37,175.46,1.4
18,18,DDN-GGN,2025-09-28 16:06:01.026,2025-09-29 00:53:12.921,339.0,304.57,93.4,14.22,211.16,0.62
19,18,GGN-DDN,2025-09-29 05:29:02.691,2025-09-29 14:04:07.645,333.25,338.3,71.76,16.99,266.54,0.8
20,19,DDN-MZF,2025-09-24 05:02:00.496,2025-09-24 07:37:16.152,127.88,121.39,8.95,2.13,112.44,0.88
21,19,MZF-GGN,2025-09-24 08:15:00.432,2025-09-24 13:42:18.223,210.38,254.27,53.21,1.32,201.06,0.96
22,19,GGN-MZF,2025-09-24 15:40:02.459,2025-09-24 21:16:18.229,208.0,277.78,42.6,2.21,235.18,1.13
23,19,MZF-DDN,2025-09-24 21:48:00.349,2025-09-25 00:27:06.717,126.0,150.2,39.06,0.65,111.14,0.88
24,19,DDN-MZF,2025-09-25 04:51:03.678,2025-09-25 07:26:08.306,127.5,84.92,27.74,1.58,57.19,0.45
25,19,MZF-GGN,2025-09-25 08:01:25.306,2025-09-25 13:20:00.137,200.88,187.14,66.18,2.13,120.96,0.6
26,19,GGN-MZF,2025-09-25 15:05:03.502,2025-09-26 00:27:26.678,275.75,314.84,35.75,16.72,279.09,1.01
27,19,MZF-DDN,2025-09-26 02:17:00.512,2025-09-26 04:45:16.454,125.88,135.65,22.34,1.6,113.31,0.9
28,19,DDN-MZF,2025-09-26 06:41:00.051,2025-09-26 09:33:12.624,127.75,90.68,32.57,5.13,58.11,0.45
29,19,MZF-GGN,2025-09-26 10:05:00.142,2025-09-26 14:48:17.645,187.12,253.85,46.96,0.38,206.89,1.11
30,19,GGN-MZF,2025-09-26 17:28:00.494,2025-09-26 23:59:12.735,208.0,196.58,69.14,4.39,127.44,0.61
31,19,MZF-DDN,2025-09-27 00:45:51.679,2025-09-27 03:08:07.351,125.75,149.01,32.1,2.55,116.91,0.93
32,19,DDN-MZF,2025-09-27 05:09:06.072,2025-09-27 07:31:01.011,112.0,100.28,14.89,1.79,85.39,0.76
33,19,MZF-GGN,2025-09-27 08:29:03.915,2025-09-27 13:32:10.049,200.62,191.66,42.03,1.2,149.63,0.75
34,19,GGN-MZF,2025-09-27 15:37:11.709,2025-09-27 21:52:00.372,204.5,243.21,26.55,5.91,216.66,1.06
35,19,MZF-DDN,2025-09-27 22:46:00.437,2025-09-28 02:19:02.427,125.75,137.52,14.76,11.48,122.76,0.98
36,19,DDN-MZF,2025-09-28 05:05:09.547,2025-09-28 07:30:03.714,127.88,110.55,26.03,1.16,84.52,0.66
37,19,MZF-GGN,2025-09-28 08:09:00.573,2025-09-28 12:35:04.532,199.75,323.39,49.7,3.16,273.68,1.37
38,19,GGN-MZF,2025-09-28 15:44:23.658,2025-09-28 21:09:02.987,178.62,294.08,59.11,6.3,234.97,1.32
39,19,MZF-DDN,2025-09-28 22:17:04.364,2025-09-29 01:04:13.030,125.75,175.51,36.52,3.27,138.98,1.11
40,19,DDN-MZF,2025-09-29 04:54:07.710,2025-09-29 07:28:01.510,123.75,136.29,24.12,2.64,112.17,0.91
41,19,MZF-GGN,2025-09-29 08:14:02.201,2025-09-29 13:08:11.542,199.38,304.89,40.71,3.93,264.17,1.32
42,19,GGN-MZF,2025-09-29 14:29:08.906,2025-09-29 21:49:02.227,204.5,285.0,38.72,31.66,246.28,1.2
